BIOLOGY 
MATH  OP R
BIOENGR
NEUROSCI 
MECHANCL
NEUROSCI 
ECOLOGY 
CHEM  INORG
NEUROSCI 
ANTHR  CULT
MATH  APPS
PHYS  OTHER
CHEM  BIORG
GENETICS 
GENETICS 
GEOLOGY 
POLIT SCI 
EVOLUTION 
ECOLOGY 
ECONOMICS 
CS  THEORY
ANTHR  ARCH
ANTHR  CULT
ELECTRCL
ECOLOGY 
ECOLOGY 
LIFOTHER
ANTHR  PHYS
EVOLUTION 
CS  DBSYS
ELECTRCL
PSYCH  CNEU
CS  ART INT
SOCIOLOGY 
CHEMICAL
CHEMICAL
ELECTRCL
PHYS  ATOMC
CHEMICAL
LIFOTHER
CHEM  INORG
ELECTRCL
CIVIL
COMPUTER
CHEM  BIOIN
CS  LANG
ANTHR  LING
MECHANCL
MATERIAL
CHEM  BIOPH
FISH&WILD 
EVOLUTION 
NEUROSCI 
PHYS  ATOMC
GENETICS 
COMPUTER
MATH  APPS
ELECTRCL
ANTHR  CULT
NEUROSCI 
INTL RELAT 
CHEM  ANALT
MOLEC BIOL 
CHEM  ORGNC
LIFOTHER
CHEM  THEOR
BIOLOGY 
CHEM  ORGNC
CIVIL
CS  OTHER
PALEOCLIMT 
PHYS  PART
ECOLOGY 
CHEMICAL
ANTHR  ARCH
GENETICS 
CHEMICAL
BIOENGR
CIVIL
MOLEC BIOL 
PSYCH  COGN
POLIT SCI 
CELL BIOL 
BIOENGR
CS  NETWRKS
ENVIRON
SOCIOLOGY 
GENETICS 
ANTHR  ARCH
CHEM  INORG
BIOPHYSICS 
EVOLUTION 
ELECTRCL
MATH  ALGBR
GENETICS 
ECOLOGY 
ASTROPHYSC 
ECOLOGY 
CHEM  OTHER
PALEONTLGY 
MOLEC BIOL 
CS  THEORY
ELECTRCL
EVOLUTION 
MATH  APPS
BIOLOGY 
BIOCHEM 
MATERIAL
CS  INF TCH
ECOLOGY 
BIOCHEM 
GEOSC  OTHR
CELL BIOL 
PSYCH  CNEU
MECHANCL
PSYCH  SOCL
EVOLUTION 
ECONOMICS 
CHEM  PHYS
MICROBIOL 
MECHANCL
BIO  STRUCT
PSYCH  DEV
MATERIAL
CHEM  BIORG
CS  THEORY
CS  DBSYS
COMPUTER
PSYCH  SOCL
ECONOMICS 
ENVIRON
PHYS  THEOR
ECONOMICS 
MOLEC BIOL 
ECONOMICS 
BIOENGR
SOCIOLOGY 
ECONOMICS 
CHEM  BIOPH
NEUROSCI 
CS  OTHER
ECOLOGY 
MICROBIOL 
COMPUTER
CHEMICAL
GEOPHYSICS 
MECHANCL
ECONOMICS 
CHEMICAL
MECHANCL
ELECTRCL
BIOCHEM 
CELL BIOL 
PSYCH  OTHR
ELECTRCL
PSYCH  PHYS
PSYCH  SOCL
MECHANCL
ANTHR  CULT
PHYS  PART
CHEM  ORGNC
GEOLOGY 
ELECTRCL
MATH  OTHER
ENVIRON
PALEONTLGY 
GEOLOGY 
ECOLOGY 
ZOOLOGY 
CHEM  BIOPH
AGRICULT
ELECTRCL
ANTHR  BIO
MECHANCL
MATH  GEOM
MD METEORL 
ASTROPHYSC 
CHEMICAL
MECHANCL
CIVIL
NEUROSCI 
AERONAUT
CS  OTHER
PHYS  MATTR
CIVIL
ZOOLOGY 
MATH  OTHER
CHEM  ORGNC
MOLEC BIOL 
DEVEL BIO 
CHEM  OTHER
CHEMICAL
MOLEC BIOL 
PHYS  NUCLR
NEUROSCI 
CIVIL
MATH  TOPOL
NEUROSCI 
SOCIOLOGY 
ELECTRCL
CHEM  ORGNC
MICROBIOL 
MARINE BIO 
CS  LANG
BIOCHEM 
EVOLUTION 
MICROBIOL 
PSYCH  SOCL
ANTHR  BIO
COMPUTER
BIOENGR
MOLEC BIOL 
MATH  ALGBR
BIOENGR
MOLEC BIOL 
PSYCH  SOCL
CHEM  BIORG
BOTANY 
EVOLUTION 
PHYS  MATTR
CIVIL
SOCIOLOGY 
NEUROSCI 
CHEMICAL
CIVIL
DEVEL BIO 
MARINE BIO 
ANIMAL BEH 
CHEMICAL
ELECTRCL
PSYCH  CNEU
CS  HUMN IN
CS  HUMN IN
GEOCHEM 
NEUROSCI 
MECHANCL
MECHANCL
ANTHR  CULT
EVOLUTION 
MECHANCS
ECOLOGY 
CS  HUMN IN
