The 6th Day
Amazone
Battlefield Earth
The Cell
Escaflowne
Godzilla vs. Megaguirus
Happy Accidents
Hollow Man
I.K.U.
The Last Man
Mission to Mars
Pitch Black
Possible Worlds
Red Planet
Space Cowboys
Supernova
Thomas In Love
Titan A.E.
What Planet Are You From?
X-Men
A.I. Artificial Intelligence
Atlantis: The Lost Empire
Avalon
The American Astronaut
Donnie Darko
Electric Dragon 80.000 V
Evolution
Final
Final Fantasy: The Spirits Within
Ghosts of Mars
"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack"
"Hey, Happy!"
Jurassic Park III
K-PAX
The Lost Skeleton of Cadavra
Metropolis
Mind Storm
Nabi
The One
Planet of the Apes
The Princess Blade
Replicant
The Strange Case of SeÃ±or Computer
Vanilla Sky
28 Days Later
2009 Lost Memories
The Adventures of Pluto Nash
Clockstoppers
Cowboy Bebop: The Movie
Cube 2: Hypercube
Cypher
Dead or Alive: Final
Eight Legged Freaks
Equilibrium
Godzilla Against Mechagodzilla
Happy Here and Now
Impostor
Jason X
Men in Black II
Minority Report
Project Viper
Reign of Fire
Resident Evil
Returner
Rollerball
S1m0ne
Science Fiction
Scorcher
Signs
So Close
Solaris
Spider-Man
Star Trek Nemesis
Star Wars: Episode II â€“ Attack of the Clones
Tamala 2010: A Punk Cat In Space
Teknolust
Treasure Planet
The Time Machine
Timequest
Trancers 6
2009: Lost Memories
Absolon
Alien Hunter
The Big Empty
Code 46
The Core
Dragon Head
Dreamcatcher
Godzilla: Tokyo SOS
Good Boy!
Hulk
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem
It&#39;s All About Love
Koi... Mil Gaya
The Matrix Reloaded
The Matrix Revolutions
Mimic 3: Sentinel
Moon Child
Natural City
Paycheck
Robot Stories
Save the Green Planet!
Terminator 3: Rise of the Machines
Timeline
Undead
Wonderful Days
WXIII: Patlabor the Movie 3
X2
2046
After the Apocalypse
Alien vs. Predator
Appleseed
The Butterfly Effect
Casshern
The Chronicles of Riddick
Cube Zero
The Day After Tomorrow
Dead Leaves
Decoys
District 13
Eternal Sunshine of the Spotless Mind
FAQ: Frequently Asked Questions
The Final Cut
The Forgotten
Godsend
Godzilla: Final Wars
G.O.R.A.
"I, Robot"
Immortel (ad vitam)
Innocence: Ghost in the Shell
Night Watch
Paranoia 1.0
Phil the Alien
The Place Promised in Our Early Days
Post Impact
Primer
Resident Evil: Apocalypse
Six: The Mark Unleashed
Sky Captain and the World of Tomorrow
Spider-Man 2
The Stepford Wives
Thunderbirds
Ã†on Flux
Allegro
Alien Abduction
The Cave
Chicken Little
The Dark Hours
Doom
Evil Aliens
Fantastic Four
Final Fantasy VII Advent Children
The Girl From Monday
Headspace
H.G. Wells&#39; The War of the Worlds
The Hitchhiker&#39;s Guide to the Galaxy
The Island
The Jacket
Man with the Screaming Brain
Meatball Machine
Planetfall
Puzzlehead
Robots
Serenity
Slipstream
A Sound of Thunder
Star Wars: Episode III â€“ Revenge of the Sith
Stealth
Steamboy
War of the Worlds
The Wild Blue Yonder
Zathura: A Space Adventure
A Scanner Darkly
Aachi &amp; Ssipak
AINOA
Alien Autopsy
Altered
Aziris Nuna
Children of Men
The Cloud
Daft Punk&#39;s Electroma
The Dark Hour
Day Watch
DÃ©jÃ  Vu
Displaced
Evil Behind You
The Fountain
Gamera the Brave
The Girl Who Leapt Through Time
The Host
Idiocracy
Japan Sinks
The Kovak Box
Krrish
Lifted
Paprika
The Ugly Swans
Renaissance
Southland Tales
Slither
Superman Returns
Ultraviolet
Unidentified
V for Vendetta
X-Men: The Last Stand
Zerophilia
Aliens vs. Predator: Requiem
Appleseed Ex Machina
28 Weeks Later
Big Man Japan
Chrysalis
Eden Log
Fantastic Four: Rise of the Silver Surfer
Flatland The Film
I Am Legend
Illegal Aliens
The Invasion
The Last Mimzy
Meet the Robinsons
The Mist
Next
"Paragraf 78, Punkt 1"
Resident Evil: Extinction
Sex and Death 101
Spider-Man 3
Sunshine
Timecrimes
TMNT
Transformers
The Man from Earth
Underdog
Vexille
20th Century Boys
Alien Raiders
Babylon A.D.
Blindness
City of Ember
CJ7
The Clone Returns Home
Cloverfield
Cyborg Soldier
Dante 01
Dasavathaaram
The Day the Earth Stood Still
Death Race
Doomsday
Eagle Eye
Far Cry
Franklyn
The Happening
The Inhabited Island
The Incredible Hulk
Iron Man
Jumper
Love Story 2050
Meet Dave
The Mutant Chronicles
Outlander
PROXIMA
Sleep Dealer
Star Wars: The Clone Wars
Tokyo Gore Police
WALL-E
The X-Files: I Want to Believe
20th Century Boys 2: The Last Hope
20th Century Boys 3: Redemption
2012
9
Alien Trespass
Astroboy
Avatar
Battle for Terra
The Box
Cargo
District 9
Frequently Asked Questions About Time Travel
Gamer
G.I. Joe: The Rise of Cobra
Kenny Begins
Knowing
Land of the Lost
Metropia
Mock-Up on Mu
Monsters vs. Aliens
Moon
Mr.Nobody
Pandorum
Planet 51
Push
Race to Witch Mountain
Redline
The Road
Robo-geisha
Screamers: The Hunting
Space Battleship Yamato: Resurrection
Splice
Star Trek
Stingray Sam
Surrogates
Terminator Salvation
Tetsuo: The Bullet Man
The Time Traveler&#39;s Wife
Transformers: Revenge of the Fallen
WatchmenAltitude
Alien vs Ninja
Arctic Blast
Beyond the Black Rainbow
The Book of Eli
The Crazies
Daybreakers
Denizen
Despicable Me
The Disappearance of Haruhi Suzumiya
Downstream
Enthiran
Future X-Cops
Growth
Hot Tub Time Machine
Hunter Prey
Inception
Iron Man 2
Kaboom
Die kommenden Tage
Mardock Scramble: The First Compression
Megamind
Monsters
Mutant Girls Squad
Never Let Me Go
Predators
Repo Men
Resident Evil: Afterlife
Shank
Skyline
Space Battleship Yamato
Tron: Legacy
Universal Soldier: Regeneration
Womb
51
7aam Arivu
The Adjustment Bureau
Another Earth
Apollo 18
Area Q
Atlas Shrugged: Part I
Attack the Block
Battle: Los Angeles
Captain America: The First Avenger
Contagion
Cowboys &amp; Aliens
The Darkest Hour
EVA
Extraterrestre
Gantz
Gantz: Perfect Answer
Generation P
Green Lantern
Hanna
Hell
O Homem do Futuro (The Man from the Future)
I Am Number Four
In Time
Limitless
Love
Mardock Scramble: The Second Combustion
Mars Needs Moms
Melancholia
Paul
Phase 7
Priest
The Prodigies
Quarantine 2: Terminal
Ra.One
Real Steel
Rise of the Planet of the Apes
Source Code
Super 8
The Thing
Thor
Transformers: Dark of the Moon
X-Men: First Class
009 Re:Cyborg
Alien Origin
The Amazing Spider-Man
The Avengers
Battleship
Branded
Chronicle
Cloud Atlas
Dredd
The Divide
Grabbers
The Hunger Games
Iron Sky
John Carter
Lockout
Looper
Mardock Scramble: The Third Exhaust
Mars et Avril
Men in Black 3
Prometheus
Resident Evil: Retribution
Robot &amp; Frank
Safety Not Guaranteed
Seeking a Friend for the End of the World
Strange Frame
Starship Troopers: Invasion
Storage 24
Total Recall
Thermae Romae
Upside Down
The Watch
After Earth
The A.R.K. Report
The Colony
The Congress
The Cosmonaut
Dark Skies
Despicable Me 2
Elysium
Escape from Planet Earth
Europa Report
Ender&#39;s Game
G.I. Joe: Retaliation
Gatchaman
Gravity
Hard to Be a God
Her
The Hunger Games: Catching Fire
Independence Daysaster
The Host
Iron Man 3
Krrish 3
The Last Days
The Last Days on Mars
Man of Steel
Oblivion
Pacific Rim
The Purge
Riddick
Snowpiercer
Space Pirate Captain Harlock
Star Trek Into Darkness
Thor: The Dark World
The Wolverine
World War Z
The World&#39;s End
Young Ones
The Zero Theorem
The Amazing Spider-Man 2
The Anomaly
Armor Hero Atlas
AutÃ_mata
Beyond
Big Hero 6
Bodacious Space Pirates: Abyss of Hyperspace
Bugs
Captain America: The Winter Soldier
Coherence
Dawn of the Planet of the Apes
The Device
Divergent
Earth to Echo
Edge of Tomorrow
Ejecta
Expelled from Paradise
The Giver
Die Gstettensaga: The Rise of Echsenfriedl
Godzilla
Guardians of the Galaxy
The Hunger Games: Mockingjay â€“ Part 1
Interstellar
Lucy
The Maze Runner
Outpost 37
Mr. Peabody &amp; Sherman
Parasyte: Part 1
Predestination
The Purge: Anarchy
The Quiet Hour
RoboCop
The Signal
Space Station 76
Teenage Mutant Ninja Turtles
Time Lapse
Transcendence
Transformers: Age of Extinction
Space Battleship Yamato 2199: Star-Voyaging Ark
Space Battleship Yamato 2199: Voyage of Remembrance
Calculator
Under the Skin
X-Men: Days of Future Past
Aliens: Zone-X
Ant-Man
Avengers: Age of Ultron
Chappie
The Divergent Series: Insurgent
The End of the World and the Cat&#39;s Disappearance
Ex Machina
Fantastic Four
Ghost in the Shell
The Hunger Games: Mockingjay â€“ Part 2
Infini
Jupiter Ascending
Jurassic World
Mad Max: Fury Road
The Martian
Maze Runner: The Scorch Trials
Monsters: Dark Continent
On Line
Pixels
Project Almanac
Psycho-Pass: The Movie
Selfless
Spring
Star Wars: The Force Awakens
Terminator Genisys
Tomorrowland
Vice
The 5th Wave
10 Cloverfield Lane
